ObjectID,Election,County,HASNO,Site Name,Site Address,Zip,New,ED,Latitude,Longitude,x,y
322,General Election 2024 - 11/05/2024,Brooklyn,10295,Marlborough Gardens,386 Marlborough Road,11226,,"022/42, 065/44",40.64061412,-73.96445437,587563.0356,4499378.4757
323,General Election 2024 - 11/05/2024,Brooklyn,10366,Mary D.'s Housing for Seniors,80 Dupont Street,11222,,"001/50, 002/50, 003/50",40.73559216,-73.95703573,588065.2134,4509929.0456
324,General Election 2024 - 11/05/2024,Brooklyn,11891,McCarren Play Center,776 Lorimer Street,11222,,"010/50, 015/50, 023/50",40.72019612,-73.95004797,588675.6883,4508227.009
325,General Election 2024 - 11/05/2024,Brooklyn,10254,McGuiness Sr Ctr,715 Leonard Street,11222,,"008/50, 013/50, 014/50, 016/50, 017/50, 018/50",40.72904293,-73.95290851,588422.3819,4509206.1825
326,General Election 2024 - 11/05/2024,Brooklyn,11231,Medgar Evers,1150 Carroll Street,11225,,063/57,40.66713583,-73.95183069,588595.3872,4502335.1792
327,General Election 2024 - 11/05/2024,Brooklyn,11250,Midwood Public Library,975 East 16th Street,11230,,"018/48, 023/48",40.62590706,-73.96040061,587925.1092,4497749.9593
328,General Election 2024 - 11/05/2024,Brooklyn,10598,MS 2,655 Parkside Avenue,11226,,"042/43, 058/43, 062/43",40.65628743,-73.95148089,588639.3152,4501131.2964
329,General Election 2024 - 11/05/2024,Brooklyn,B0293,MS 678 (PS 72),605 Shepherd Avenue,11208,,"050/60, 051/60",40.66948171,-73.87945672,594709.5153,4502671.0427
330,General Election 2024 - 11/05/2024,Brooklyn,11281,MS 936,270 59 Street,11220,,"006/51, 056/51, 102/61, 103/61, 104/61 (Combined into 103/61)",40.64278521,-74.02028563,582839.3326,4499565.397
331,General Election 2024 - 11/05/2024,Brooklyn,11869,Muslim American Society Youth Center,1933 Bath Avenue,11214,,"009/47, 010/47, 011/47, 032/47, 060/47",40.60226451,-74.00278865,584369.7798,4495084.0313
332,General Election 2024 - 11/05/2024,Brooklyn,11446,New Hope Family Worship,817 Livonia Avenue,11207,,"037/60, 052/60, 055/60, 058/60",40.66598818,-73.88651644,594117.7205,4502275.6571
333,General Election 2024 - 11/05/2024,Brooklyn,11405,New Lots  Public Library,665 New Lots Avenue,11207,,056/60,40.6651105,-73.88600882,594161.8625,4502178.7729
334,General Election 2024 - 11/05/2024,Brooklyn,B0080,New Utrecht HS,1601 80th Street,11214,,"004/47, 030/49, 031/49",40.61323108,-74.00313313,584326.8478,4496301.0401
335,General Election 2024 - 11/05/2024,Brooklyn,10931,Noll Street Apartments,43 Central Avenue,11206,,"023/53, 025/53, 027/53, 031/53",40.70185475,-73.93144325,590271.7817,4506209.946
336,General Election 2024 - 11/05/2024,Brooklyn,10788,O'Dwyer Community Center,2945 West 33 Street,11224,,"044/46, 045/46",40.57391738,-73.99878129,584744.6094,4491941.2296
337,General Election 2024 - 11/05/2024,Brooklyn,11248,Ocean Hill Comm Ctr,305 MacDougal Street,11233,,"037/54, 013/55",40.68093585,-73.90804711,592277.1837,4503912.1145
338,General Election 2024 - 11/05/2024,Brooklyn,10597,Old Boys HS,832 Marcy Avenue,11216,,"032/56, 033/56, 037/56, 034/57",40.68470946,-73.94727105,588957.4277,4504290.5641
339,General Election 2024 - 11/05/2024,Brooklyn,11444,Ozzie Wilson Residences Senior Housing,575 Central Avenue,11207,,045/54,40.68964572,-73.9100529,592095.6864,4504876.862
340,General Election 2024 - 11/05/2024,Brooklyn,11629,PAL-Wynn Center,495 Gates Avenue,11216,,"027/56, 031/56",40.686743,-73.94700055,588977.5808,4504516.5744
341,General Election 2024 - 11/05/2024,Brooklyn,11251,Park Slope Armory YMCA,361 15th Street,11215,,"003/44, 028/44, 029/44, 030/44, 031/44, 033/44",40.66274643,-73.98327652,585943.0532,4501816.7154
342,General Election 2024 - 11/05/2024,Brooklyn,11411,Park Slope Public Library,431 6 Avenue,11215,,"027/44, 073/44",40.66826698,-73.98353752,585913.9052,4502429.2733
343,General Election 2024 - 11/05/2024,Brooklyn,11420,Our Lady of Perpetual Help,552 59 Street,11220,,"008/49, 009/49, 010/49, 010/51, 011/51, 012/51",40.63930405,-74.01444679,583337.3703,4499184.4855
344,General Election 2024 - 11/05/2024,Brooklyn,11190,Penny Yates Apts,63 Central Avenue,11206,,026/53,40.70142323,-73.93065978,590338.5538,4506162.8489
345,General Election 2024 - 11/05/2024,Brooklyn,10556,Plaza Sr Ctr,297 Wilson Avenue,11237,,"007/53, 010/53, 014/53",40.69698774,-73.91885647,591341.7823,4505682.6852
346,General Election 2024 - 11/05/2024,Brooklyn,11293,Polish Slavic Culture Center,177 Kent Street,11222,,"004/50, 005/50, 006/50, 007/50",40.73125909,-73.95340887,588377.1949,4509451.6878
347,General Election 2024 - 11/05/2024,Brooklyn,11889,Prospect Park YMCA,357 9 Street,11215,,"019/44, 020/44, 021/44, 022/44, 028/51",40.66847711,-73.98447709,585834.22,4502451.6814
348,General Election 2024 - 11/05/2024,Brooklyn,B0153,PS   40,265 Ralph Avenue,11233,,"005/55, 006/55, 008/55, 012/55, 051/56, 052/56",40.68014037,-73.92195864,591102.6299,4503809.2974
349,General Election 2024 - 11/05/2024,Brooklyn,B0185,PS 1,309 47th Street,11220,,"014/51, 015/51, 017/51, 055/51, 105/61, 106/61 (Combined into 105/61), 107/61 (Combined into 105/61), 108/61 (Combined into 105/61)",40.64909075,-74.01183297,583546.1906,4500273.3401
350,General Election 2024 - 11/05/2024,Brooklyn,B0267,PS 10,511 7th Avenue,11215,,"032/44, 034/44, 025/51, 026/51",40.66098979,-73.98637567,585683.3278,4501618.6941
351,General Election 2024 - 11/05/2024,Brooklyn,B0056,Patrick E Gorman Housing Co Inc.,1381a Linden Boulevard,11212,,"031/55, 032/55",40.65467314,-73.90875973,592253.1497,4500996.0442
352,General Election 2024 - 11/05/2024,Brooklyn,B0132,PS 101,2360 Benson Avenue,11214,,"035/47, 036/47, 037/47, 038/47, 043/47",40.59761759,-73.99172463,585311.7823,4494578.8656
353,General Election 2024 - 11/05/2024,Brooklyn,B0019,PS 105,1031 59th  Street,11219,,"001/48, 002/48, 011/49",40.63311445,-74.00367052,584256.3967,4498507.6744
354,General Election 2024 - 11/05/2024,Brooklyn,B0109,PS 108,200 Linwood Street,11208,,033/54,40.68129815,-73.88418527,594293.1937,4503977.6606
355,General Election 2024 - 11/05/2024,Brooklyn,B0234,PS 11 New,419 Waverly Avenue,11238,,"027/57, 043/57, 044/57, 045/57",40.68551075,-73.96616183,587360.0513,4504360.5622
356,General Election 2024 - 11/05/2024,Brooklyn,B0026,PS 114,1077 Remsen Avenue,11236,,"048/58, 056/58, 057/58, 015/59, 016/59",40.64252349,-73.90812664,592323.4168,4499648.0271
357,General Election 2024 - 11/05/2024,Brooklyn,B0390,PS 115,1500 East 92nd Street,11236,,"003/59, 004/59, 005/59, 006/59, 007/59",40.63481635,-73.8973996,593241.1831,4498803.8059
358,General Election 2024 - 11/05/2024,Brooklyn,11537,PS 12,430 Howard Avenue,11233,,"055/55, 056/55, 062/55",40.6728543,-73.91975653,591298.6682,4503002.7832
359,General Election 2024 - 11/05/2024,Brooklyn,B0088,PS 120,18 Beaver Street,11206,,"022/53, 033/53",40.70051227,-73.93785427,589731.9709,4506054.3538
360,General Election 2024 - 11/05/2024,Brooklyn,B0273,PS 121,5301 20th Avenue,11204,,"038/48, 040/48",40.62291058,-73.97887581,586366.3858,4497399.0368
